obs,1num,tic,1conm_x,gvkey,1ceo_minority,new_director_source,new_director_name,2director_race(black),2num,2Company,2AnnDate,2permno,TMT_verify_link(Manual Check),*TMT_Active_in_2020_afterMay26(Manual Check),CrossVerify_2role_type,2Confounded,2Interim,2gender(female?),blackTMT?,Num_Black_TMT,EverHad_Black_TMT,3num,3CompanyID,3DirectorID,3CompanyName,3RoleName,1ethnicity (from boardex),3DateStartRole,3DateEndRole,3Seniority,Director_EverBeen_CEO?,3Director_Active_in_2020_afterMay26
1017,247,CTVA,CORTEVA INC,35168,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,726,3039776,1010737,CORTEVA INC,CEO,CAUCASIAN/WHITE,6/3/19,11/1/21,Executive Director,1,Yes
1018,248,DRE,DUKE REALTY CORP,13510,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,194,9730,333005,DUKE REALTY CORP (De-listed 10/2022),Chairman/CEO,CAUCASIAN/WHITE,4/26/17,10/3/22,Executive Director,1,Yes
1019,249,ELV,ELEVANCE HEALTH INC,145046,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,32,2273,184069,ELEVANCE HEALTH INC (Anthem Inc prior to 06/2022),President/CEO,CAUCASIAN/WHITE,11/20/17,,Executive Director,1,Yes
1020,251,SPG,SIMON PROPERTY GROUP INC,29389,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,715,2686564,2239576,SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023),Co-CEO,CAUCASIAN/WHITE,8/31/18,1/5/21,Executive Director,1,Yes
1021,251,SPG,SIMON PROPERTY GROUP INC,29389,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,493,28041,70877,SIMON PROPERTY GROUP INC,Chairman/President/CEO,CAUCASIAN/WHITE,2/15/19,,Executive Director,1,Yes
1022,251,SPG,SIMON PROPERTY GROUP INC,29389,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,714,2686564,2235636,SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023),Co-CEO,CAUCASIAN/WHITE,8/31/18,1/5/21,Executive Director,1,Yes
1023,251,SPG,SIMON PROPERTY GROUP INC,29389,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,494,28041,141036,SIMON PROPERTY GROUP INC,Vice Chairman,CAUCASIAN/WHITE,2/15/19,,Executive Director,0,Yes
1024,252,AZO,AUTOZONE INC,23809,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,44,3154,49966,AUTOZONE INC,Chairman/President/CEO,CAUCASIAN/WHITE,6/6/07,1/2/24,Executive Director,1,Yes
1025,253,FDX,FEDEX CORP,4598,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,235,11664,43076,FEDEX CORP,Chairman/CEO,CAUCASIAN/WHITE,2/1/17,5/31/22,Executive Director,1,Yes
1026,254,IP,INTL PAPER CO,6104,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,683,1985284,2589083,IMAGINEAR INC (Imagination Park Technologies Inc prior to 04/2020),President/CEO,CAUCASIAN/WHITE,3/1/19,1/1/21,Executive Director,1,Yes
1027,254,IP,INTL PAPER CO,6104,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,307,16569,621903,INTERNATIONAL PAPER CO,Chairman/CEO,CAUCASIAN/WHITE,1/1/15,,Executive Director,1,Yes
1028,255,MAA,MID-AMERICA APT CMNTYS INC,29649,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,381,20625,341827,MID-AMERICA APARTMENT COMMUNITIES INC,Chairman/President/CEO,CAUCASIAN/WHITE,10/1/02,,Executive Director,1,Yes
1029,256,DG,DOLLAR GENERAL CORP,4016,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,647,1605214,487710,DOLLAR GENERAL CORP,CEO,CAUCASIAN/WHITE,6/3/15,11/1/22,Executive Director,1,Yes
1030,257,HCA,HCA HEALTHCARE INC,22260,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,662,1692837,35175,HCA HEALTHCARE INC (HCA Holdings Inc prior to 05/2017),CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
1031,258,CTXS,CITRIX SYSTEMS INC,61676,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,134,6959,205153,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,CAUCASIAN/WHITE,7/10/17,10/1/21,Executive Director,1,Yes
1032,259,KMX,CARMAX INC,64410,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,586,107377,1011736,CARMAX INC,President/CEO,CAUCASIAN/WHITE,9/1/16,,Executive Director,1,Yes
1033,260,AEP,AMERICAN ELECTRIC POWER CO,1440,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,20,1809,533555,AMERICAN ELECTRIC POWER CO INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/14,8/10/22,Executive Director,1,Yes
1034,261,BBWI,BATH & BODY WORKS INC,6733,0,2Bermiss,,,,,,,,No,,,,,,0,0,340,18892,53436,BATH & BODY WORKS INC (L Brands Inc prior to 08/2021),Chairman/CEO,CAUCASIAN/WHITE,1/1/02,5/14/20,Executive Director,1,No
1035,262,CAH,CARDINAL HEALTH INC,2751,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,102,5811,517277,CARDINAL HEALTH INC,CEO,CAUCASIAN/WHITE,9/1/19,9/1/22,Executive Director,1,Yes
1036,263,HBAN,HUNTINGTON BANCSHARES,5786,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,292,15235,200105,HUNTINGTON BANCSHARES INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/14/09,,Executive Director,1,Yes
1037,264,ATO,ATMOS ENERGY CORP,4383,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,40,2963,806085,ATMOS ENERGY CORP,President/CEO,CAUCASIAN/WHITE,10/1/19,,Executive Director,1,Yes
1038,264,ATO,ATMOS ENERGY CORP,4383,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,39,2963,328716,ATMOS ENERGY CORP,Chairman (Executive),CAUCASIAN/WHITE,10/1/17,11/23/20,Executive Director,0,Yes
1039,265,CBRE,CBRE GROUP INC,260774,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,109,6083,272769,CBRE GROUP INC (CB Richard Ellis Group Inc prior to 10/2011),President/CEO,CAUCASIAN/WHITE,12/1/12,11/17/23,Executive Director,1,Yes
1040,266,CE,CELANESE CORP,162254,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1041,266,CE,CELANESE CORP,162254,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1042,267,CMA,COMERICA INC,3231,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1043,267,CMA,COMERICA INC,3231,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1044,268,CPRT,COPART INC,29901,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,158,7852,183351,COPART INC,CEO,CAUCASIAN/WHITE,2/12/10,4/1/22,Executive Director,1,Yes
1045,268,CPRT,COPART INC,29901,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,159,7852,183354,COPART INC,Chairman (Executive),CAUCASIAN/WHITE,2/12/10,,Executive Director,0,Yes
1046,269,FLS,FLOWSERVE CORP,4108,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,238,12153,1304182,FLOWSERVE CORP,President/CEO,CAUCASIAN/WHITE,4/1/17,,Executive Director,1,Yes
1047,270,INVH,INVITATION HOMES INC,30004,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,711,2607907,1862251,INVITATION HOMES INC,President/CEO,CAUCASIAN/WHITE,1/16/19,3/1/23,Executive Director,1,Yes
1048,271,J,JACOBS ENGINEERING GROUP INC,6216,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,313,17251,349932,JACOBS SOLUTIONS INC (Jacobs Engineering Group Inc prior to 08/2022),Chairman/CEO,CAUCASIAN/WHITE,7/28/16,1/24/23,Executive Director,1,Yes
1049,272,KMB,KIMBERLY-CLARK CORP,6435,1,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,,,0,No
1050,272,KMB,KIMBERLY-CLARK CORP,6435,1,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),,,,0,No
1051,273,LUV,SOUTHWEST AIRLINES,9882,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,502,28696,44881,SOUTHWEST AIRLINES CO,Chairman/CEO,CAUCASIAN/WHITE,1/10/17,2/1/22,Executive Director,1,Yes
1052,274,MCK,MCKESSON CORP,7171,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,368,19966,509859,MCKESSON CORP (McKesson HBOC Inc prior to 08/2001),CEO,CAUCASIAN/WHITE,4/1/19,,Executive Director,1,Yes
1053,275,MTCH,MATCH GROUP INC,26061,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,539,32019,33328,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),Chairman (Executive),INDIAN/SOUTH ASIAN,12/1/10,6/30/20,Executive Director,0,Yes
1054,275,MTCH,MATCH GROUP INC,26061,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,541,32019,641282,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),CEO,INDIAN/SOUTH ASIAN,6/24/15,6/30/20,Executive Director,1,Yes
1055,275,MTCH,MATCH GROUP INC,26061,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,540,32019,43526,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),Vice Chairman (Executive),INDIAN/SOUTH ASIAN,10/1/99,6/30/20,Executive Director,0,Yes
1056,276,PXD,PIONEER NATURAL RESOURCES CO,14359,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,433,24506,66062,PIONEER NATURAL RESOURCES CO,President/CEO,CAUCASIAN/WHITE,2/21/19,1/1/21,Executive Director,1,Yes
1057,278,TXN,TEXAS INSTRUMENTS INC,10499,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,519,30509,13520,TEXAS INSTRUMENTS INC,Chairman/President/CEO,CAUCASIAN/WHITE,7/17/18,4/1/23,Executive Director,1,Yes
1058,279,XOM,EXXON MOBIL CORP,4503,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,229,11430,1253894,EXXON MOBIL CORP,Chairman/CEO,CAUCASIAN/WHITE,1/1/17,,Executive Director,1,Yes
1059,280,NKE,NIKE INC -CL B,7906,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1060,280,NKE,NIKE INC -CL B,7906,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1061,281,IDXX,IDEXX LABS INC,24197,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,294,15486,1254756,IDEXX LABORATORIES INC,President/CEO,CAUCASIAN/WHITE,10/23/19,,Executive Director,1,Yes
1062,282,AWK,AMERICAN WATER WORKS CO INC,179437,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1063,282,AWK,AMERICAN WATER WORKS CO INC,179437,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1064,283,CPB,CAMPBELL SOUP CO,2663,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,98,5620,1122227,CAMPBELL SOUP CO,President/CEO,CAUCASIAN/WHITE,1/22/19,,Executive Director,1,Yes
1065,285,PGR,PROGRESSIVE CORP-OHIO,13341,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,448,25199,40291,PROGRESSIVE CORP (OHIO),President/CEO,CAUCASIAN/WHITE,7/1/16,,Executive Director,1,Yes
1066,286,PH,PARKER-HANNIFIN CORP,8358,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,423,23834,502142,PARKER-HANNIFIN CORP,Chairman/CEO,CAUCASIAN/WHITE,1/1/16,1/1/23,Executive Director,1,Yes
1067,287,SHW,SHERWIN-WILLIAMS CO,9667,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,492,27786,60662,SHERWIN-WILLIAMS CO,Chairman/CEO,CAUCASIAN/WHITE,3/1/19,3/12/21,Executive Director,1,Yes
1068,288,TDG,TRANSDIGM GROUP INC,148349,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,620,818089,895408,TRANSDIGM GROUP INC,President/CEO,CAUCASIAN/WHITE,4/26/18,,Executive Director,1,Yes
1069,288,TDG,TRANSDIGM GROUP INC,148349,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,619,818089,512642,TRANSDIGM GROUP INC,Chairman (Executive),CAUCASIAN/WHITE,4/26/18,8/6/21,Executive Director,0,Yes
1070,290,IBM,INTL BUSINESS MACHINES CORP,6066,1,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,INDIAN/SOUTH ASIAN,,,,0,No
1071,290,IBM,INTL BUSINESS MACHINES CORP,6066,1,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,INDIAN/SOUTH ASIAN,,,,0,No
1072,291,MA,MASTERCARD INC,160225,1,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,INDIAN/SOUTH ASIAN,,,,0,No
1073,291,MA,MASTERCARD INC,160225,1,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,INDIAN/SOUTH ASIAN,,,,0,No
1074,292,PEP,PEPSICO INC,8479,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,426,24151,1304732,PEPSICO INC,Chairman/President/CEO,HISPANIC/LATIN AMERICAN,2/1/19,,Executive Director,1,Yes
1075,293,REGN,REGENERON PHARMACEUTICALS,23812,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,465,25954,201093,REGENERON PHARMACEUTICALS INC,President/CEO,CAUCASIAN/WHITE,1/1/94,6/9/23,Executive Director,1,Yes
1076,294,XYL,XYLEM INC,189491,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,665,1731107,598774,XYLEM INC,President/CEO,CAUCASIAN/WHITE,3/17/14,12/31/23,Executive Director,1,Yes
1077,295,DD,DUPONT DE NEMOURS INC,4060,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1078,295,DD,DUPONT DE NEMOURS INC,4060,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1079,296,INCY,INCYTE CORP,29127,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,298,15783,1249099,INCYTE CORP (Incyte Genomics prior to 03/2003),Chairman/President/CEO,PREFER NOT TO DISCLOSE,5/22/15,6/5/23,Executive Director,1,Yes
1080,297,DTE,DTE ENERGY CO,3897,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,191,9693,204995,DTE ENERGY CO,Chairman (Executive),CAUCASIAN/WHITE,7/1/19,5/5/22,Executive Director,0,Yes
1081,297,DTE,DTE ENERGY CO,3897,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,193,9693,534436,DTE ENERGY CO,President/CEO,CAUCASIAN/WHITE,7/1/19,5/5/22,Executive Director,1,Yes
1082,298,F,FORD MOTOR CO,4839,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,241,12262,23366,FORD MOTOR CO,Chairman (Executive),CAUCASIAN/WHITE,9/1/06,,Executive Director,0,Yes
1083,298,F,FORD MOTOR CO,4839,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,243,12262,34156,FORD MOTOR CO,President/CEO,CAUCASIAN/WHITE,5/22/17,10/1/20,Executive Director,1,Yes
1084,298,F,FORD MOTOR CO,4839,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,638,1227085,735131,FIORE GOLD LTD (Fiore Exploration Ltd prior to 09/2017) (De-listed 01/2022),CEO,CAUCASIAN/WHITE,9/25/17,1/12/22,Executive Director,1,Yes
1085,300,MAS,MASCO CORP,7085,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,360,19758,1135450,MASCO CORP,President/CEO,CAUCASIAN/WHITE,2/14/14,,Executive Director,1,Yes
1086,301,AOS,SMITH (A.O.),9771,0,2Bermiss,,,,,,,,No,,,,,,0,0,496,28304,484111,SMITH (AO) CORP,Chairman (Executive),CAUCASIAN/WHITE,9/1/18,5/1/20,Executive Director,0,No
1087,301,AOS,SMITH (A.O.),9771,0,2Bermiss,,,,,,,,No,,,,,,0,0,497,28304,1302544,SMITH (AO) CORP,President/CEO,CAUCASIAN/WHITE,9/1/18,5/1/20,Executive Director,1,No
1088,302,ROK,ROCKWELL AUTOMATION,9203,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,473,26468,1108705,ROCKWELL AUTOMATION INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
1089,303,WEC,WEC ENERGY GROUP INC,11550,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,571,33607,36615,WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015),Chairman (Executive),CAUCASIAN/WHITE,2/1/19,,Executive Director,0,Yes
1090,303,WEC,WEC ENERGY GROUP INC,11550,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,572,33607,885203,WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015),President/CEO,CAUCASIAN/WHITE,2/1/19,2/1/22,Executive Director,1,Yes
1091,304,CHD,CHURCH & DWIGHT INC,3026,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,124,6779,336620,CHURCH & DWIGHT CO INC,Chairman/President/CEO,CAUCASIAN/WHITE,5/2/19,,Executive Director,1,Yes
1092,305,AMP,AMERIPRISE FINANCIAL INC,164708,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,612,667645,33676,AMERIPRISE FINANCIAL INC,Chairman/CEO,CAUCASIAN/WHITE,9/30/05,,Executive Director,1,Yes
1093,307,CHRW,C H ROBINSON WORLDWIDE INC,65609,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,121,6438,1656763,CH ROBINSON WORLDWIDE INC,President/CEO,CAUCASIAN/WHITE,5/9/19,12/31/22,Executive Director,1,Yes
1094,307,CHRW,C H ROBINSON WORLDWIDE INC,65609,0,2Bermiss,,,,,,,,No,,,,,,0,0,120,6438,67247,CH ROBINSON WORLDWIDE INC,Chairman,CAUCASIAN/WHITE,5/9/19,5/7/20,Executive Director,0,No
1095,311,USB,US BANCORP,4723,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,536,31946,34167,US BANCORP,Chairman/President/CEO,CAUCASIAN/WHITE,4/17/18,,Executive Director,1,Yes
1096,312,XEL,XCEL ENERGY INC,7977,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1097,312,XEL,XCEL ENERGY INC,7977,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1098,313,ADI,ANALOG DEVICES INC,1632,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,30,2145,35469,ANALOG DEVICES INC,President/CEO,CAUCASIAN/WHITE,5/6/13,3/9/22,Executive Director,1,Yes
1099,314,AKAM,AKAMAI TECHNOLOGIES INC,125595,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,9,1221,183176,AKAMAI TECHNOLOGIES INC,CEO,CAUCASIAN/WHITE,1/1/13,,Executive Director,1,Yes
1100,315,BIIB,BIOGEN INC,24468,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,592,440155,1694109,BIOGEN INC (Biogen Idec Inc prior to 03/2015),CEO,CAUCASIAN/WHITE,1/6/17,11/14/22,Executive Director,1,Yes
1101,316,BSX,BOSTON SCIENTIFIC CORP,25279,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,640,1264297,730965,BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010),Chairman (Executive),CAUCASIAN/WHITE,8/15/14,,Executive Director,0,Yes
1102,316,BSX,BOSTON SCIENTIFIC CORP,25279,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,88,4865,879252,BOSTON SCIENTIFIC CORP,Chairman/President/CEO,CAUCASIAN/WHITE,5/3/16,,Executive Director,1,Yes
1103,316,BSX,BOSTON SCIENTIFIC CORP,25279,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,641,1264297,790420,BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010),President/CEO,CAUCASIAN/WHITE,8/15/14,,Executive Director,1,Yes
1104,317,HOLX,HOLOGIC INC,20904,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,280,14967,41481,HOLOGIC INC,Chairman/President/CEO,CAUCASIAN/WHITE,6/16/15,,Executive Director,1,Yes
1105,318,KDP,KEURIG DR PEPPER INC,28877,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,635,1057037,989294,KEURIG DR PEPPER INC (Dr Pepper Snapple Group Inc prior to 07/2018),Chairman/President/CEO,CAUCASIAN/WHITE,1/13/19,7/29/22,Executive Director,1,Yes
1106,319,MRNA,MODERNA INC,34410,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,719,2959246,507530,MODERNA INC,CEO,CAUCASIAN/WHITE,12/7/18,,Executive Director,1,Yes
1107,320,PKI,PERKINELMER INC,4145,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,664,1719568,1248755,PARKLAND CORP (Parkland Fuel Corp prior to 05/2020),President/CEO,INDIAN/SOUTH ASIAN,5/12/11,,Executive Director,1,Yes
1108,321,PODD,INSULET CORP,177227,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,622,862492,1519215,INSULET CORPORATION,President/CEO,CAUCASIAN/WHITE,1/1/19,6/1/22,Executive Director,1,Yes
1109,322,RTN,RAYTHEON CO,8972,0,3BoardEx,,1,131,Raytheon,9/8/99,24942,,No,CEO,1,0,0,,1,1,,,,,,CAUCASIAN/WHITE,,,,0,No
1110,323,RTX,RAYTHEON TECHNOLOGIES CORP,10983,0,2Bermiss,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1111,323,RTX,RAYTHEON TECHNOLOGIES CORP,10983,0,3BoardEx,,,,,,,,No,,,,,,0,0,,,,,,CAUCASIAN/WHITE,,,,0,No
1112,324,TER,TERADYNE INC,10453,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,517,30437,488571,TERADYNE INC,President/CEO,CAUCASIAN/WHITE,2/1/14,7/1/22,Executive Director,1,Yes
1113,325,TJX,TJX COS INC (THE),11672,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,523,30801,38966,TJX COS INC,Chairman (Executive),CAUCASIAN/WHITE,1/31/16,,Executive Director,0,Yes
1114,325,TJX,TJX COS INC (THE),11672,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,524,30801,540575,TJX COS INC,President/CEO,CAUCASIAN/WHITE,1/31/16,,Executive Director,1,Yes
1115,326,TMO,THERMO FISHER SCIENTIFIC INC,10530,0,2Bermiss,,,,,,,,No,,,,,,0,0,521,30616,2810399,THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006),Chairman/VP/Treasurer,CAUCASIAN/WHITE,,,Executive Director,0,No
1116,327,ARE,ALEXANDRIA R E EQUITIES INC,64821,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,581,72259,1206037,AECON GROUP INC,President/CEO,CAUCASIAN/WHITE,6/4/19,,Executive Director,1,Yes
1117,327,ARE,ALEXANDRIA R E EQUITIES INC,64821,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,11,1354,182964,ALEXANDRIA REAL ESTATE EQUITIES INC,Chairman (Executive),CAUCASIAN/WHITE,4/23/18,,Executive Director,0,Yes
1118,328,ATVI,ACTIVISION BLIZZARD INC,180405,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,3,725,69696,ACTIVISION BLIZZARD INC (De-listed 10/2023),CEO,CAUCASIAN/WHITE,6/26/17,10/13/23,Executive Director,1,Yes
1119,329,AVY,AVERY DENNISON CORP,1913,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,46,3210,530989,AVERY DENNISON CORP,Chairman/President/CEO,CAUCASIAN/WHITE,4/25/19,2/28/22,Executive Director,1,Yes
1120,330,DIS,DISNEY (WALT) CO,3980,0,3BoardEx,,1,196,Walt Disney,9/24/90,26403,,,TMT,1,,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
1121,330,DIS,DISNEY (WALT) CO,3980,0,3BoardEx,,1,216,Walt Disney,8/29/91,26403,,,TMT,1,,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
1122,331,EIX,EDISON INTERNATIONAL,9846,1,2Bermiss,,,,,,,,Yes,,,,,,0,0,201,10130,791001,EDISON INTERNATIONAL,President/CEO,HISPANIC/LATIN AMERICAN,9/30/16,,Executive Director,1,Yes
1123,332,LYV,LIVE NATION ENTERTAINMENT,165746,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,615,814633,551171,LIVE NATION ENTERTAINMENT INC (Live Nation Inc prior to 01/2010),President/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
1124,333,PSA,PUBLIC STORAGE,10096,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,453,25380,270150,PUBLIC STORAGE (Public Storage Inc prior to 06/2007),President/CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
1125,334,ECL,ECOLAB INC,4213,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,200,10036,51882,ECOLAB INC,Chairman/CEO,CAUCASIAN/WHITE,12/2/11,1/1/21,Executive Director,1,Yes
1126,335,MMM,3M CO,7435,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,642,1336232,842949,MINCO CAPITAL CORP (Minco Gold Corp prior to 02/2019),Chairman/CEO,CAUCASIAN/WHITE,6/28/17,6/4/20,Executive Director,1,Yes
1127,335,MMM,3M CO,7435,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,382,20777,1310783,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Chairman/President/CEO,CAUCASIAN/WHITE,6/1/19,9/1/23,Executive Director,1,Yes
1128,336,DLR,DIGITAL REALTY TRUST INC,160991,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,606,641924,374955,DIGITAL REALTY TRUST INC,CEO,CAUCASIAN/WHITE,5/1/15,12/13/22,Executive Director,1,Yes
1129,338,TSLA,TESLA INC,184996,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,651,1650150,1090701,TESLA INC (Tesla Motors Inc prior to 02/2017),CEO,CAUCASIAN/WHITE,11/7/18,,Executive Director,1,Yes
1130,339,BIO,BIO-RAD LABORATORIES INC,2220,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,79,4311,181631,BIO RAD LABORATORIES INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/12,,Executive Director,1,Yes
1131,340,COO,COOPER COS INC (THE),3504,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,155,7836,517326,COOPER COMPANIES INC,President/CEO,CAUCASIAN/WHITE,5/1/18,,Executive Director,1,Yes
1132,341,CVX,CHEVRON CORP,2991,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,123,6627,343163,CHEVRON CORP,Chairman/CEO,CAUCASIAN/WHITE,2/1/18,,Executive Director,1,Yes
1133,343,DGX,QUEST DIAGNOSTICS INC,64166,0,2Bermiss,,,,,,,,Yes,,,,,,0,0,461,25578,37246,QUEST DIAGNOSTICS INC,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/17,11/1/22,Executive Director,1,Yes
